recipe_name,source_file,source_area,source_text,reason
Chana Masala,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,paragraph 10,Oil & Whole Spices:,"No exact numeric quantity in source, so it cannot be costed exactly."
Chana Masala,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,paragraph 14,Powder Spices:,"No exact numeric quantity in source, so it cannot be costed exactly."
Dal Chana Fry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,table 1 row 13,Salt | 250 g (adjust),"No exact numeric quantity in source, so it cannot be costed exactly."
Dal Masoor,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,paragraph 11,Spices & Seasoning,"No exact numeric quantity in source, so it cannot be costed exactly."
Dall Mong,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dall Mong Recipe. 100 pax.docx,paragraph 15,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Foul Medames,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Foul Medames.01 pax.docx,paragraph 7,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Foul Medames,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Foul Medames.01 pax.docx,paragraph 8,"Optional garnish: chopped parsley, tomatoes","No exact numeric quantity in source, so it cannot be costed exactly."
Cheese Omelette.with onion tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,paragraph 8,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Cheese Omelette.with onion tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,paragraph 9,Black pepper – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Cheese Omelette.with onion tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,paragraph 12,"Prepare ingredients:Chop onion, tomato, and herbs. Keep the cheese slice ready.","No exact numeric quantity in source, so it cannot be costed exactly."
Cheese Omelette.with onion tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,paragraph 13,"Beat the eggs:Crack eggs into a bowl, add salt and pepper, and whisk until smooth.","No exact numeric quantity in source, so it cannot be costed exactly."
Cheese Omelette.with onion tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,paragraph 17,Serve:Slide onto a plate and garnish with herbs if desired.,"No exact numeric quantity in source, so it cannot be costed exactly."
Egg Shakshuka,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg Shakshuka.01 pax.docx,paragraph 11,Chili flakes – pinch (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
Egg Shakshuka,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg Shakshuka.01 pax.docx,paragraph 12,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Egg Shakshuka,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg Shakshuka.01 pax.docx,paragraph 13,Black pepper – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
