name,recipe_code,description,recipe_type,cuisine_type,category,servings,portion_size_grams,ingredients,sub_recipes,instructions,prep_time_minutes,cook_time_minutes,allergens,site_scope,site_ids,site_names,image_url,is_active
Beef Caldareta Philippines Filipino KBR-384 1 Serving,PH-001-BEEFCALDARET,Beef Caldareta Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,900.4,"[{""ingredient_name"":""BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG"",""quantity"":181.44,""unit"":""g"",""item_code"":""141396"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.012,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""POTATO (LOCAL)"",""quantity"":72,""unit"":""g"",""item_code"":""PR000022"",""ingredient_id"":""""},{""ingredient_name"":""CARROT (AUSTALIA/CHINA)"",""quantity"":40,""unit"":""g"",""item_code"":""PR000026"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":2.4,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10"",""quantity"":0.096,""unit"":""l"",""item_code"":""381887"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA LUNA TOMATO PASTE 24/400G"",""quantity"":6,""unit"":""g"",""item_code"":""103023"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.096,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":262.5,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""Liver Spread"",""quantity"":24,""unit"":""g"",""item_code"":""PHMIS-001"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA SLICED CHEESE 9/800G"",""quantity"":24,""unit"":""g"",""item_code"":""171301"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA SPANISH BLACK OLIVES WHOLE 12/370G"",""quantity"":24,""unit"":""g"",""item_code"":""191744"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":0.1,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""}]",[],"Beef: 4 lbs (approx. 2 kg) beef chuck or bottom round, cut into 2-inch cubes | Cooking Oil: 1/2 cup | Potatoes: 4 large, peeled and cut into 2-inch cubes | Carrots: 4 large, peeled and cut into 2-inch cubes | Onions: 2 large, peeled and chopped | Garlic: 8 cloves, peeled and minced | Tomato Sauce: 4 cups | Tomato Paste: 1/4 cup | Water or Beef Broth: 4 cups | Thai Chili Peppers (Siling Labuyo): 15–20 pieces, minced (adjust for desired heat) | Liver Spread: 1 cup (adds signature richness and thickness) | Cheddar Cheese: 1 cup, shredded or cubed | Green Olives: 1 cup, pitted | Bell Peppers: 2 medium (1 red, 1 green), sliced into cubes | Salt and Pepper: To taste",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Beef Steak Philippines Filipino KBR-384 1 Serving,PH-002-BEEFSTEAKPHI,Beef Steak Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,333.7,"[{""ingredient_name"":""BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG"",""quantity"":158.76,""unit"":""g"",""item_code"":""141396"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.03,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""LEMON (AFRICAN/TURKEY)"",""quantity"":12,""unit"":""g"",""item_code"":""PR000090"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"",""quantity"":0.27,""unit"":""g"",""item_code"":""185836"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":2.4,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""ONION (WHITE)"",""quantity"":60,""unit"":""g"",""item_code"":""PR000049"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.009,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.06,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":1.25,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""}]",[],"3 to 4 lbs beef sirloin or chuck steak, sliced thin | 1 & 1/4 cups soy sauce | 1/2 cup calamansi juice (or substitute fresh lemon/lime juice) | 1 tsp ground black pepper | 8 cloves garlic, minced | 4 large white onions, sliced into rings | 6 tbsp cooking oil (divided) | 2 & 1/2 cups water | 1 tbsp brown sugar or sugar (optional, to balance saltiness)",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Ch.Luncheon Chicken / Beef Philippines Filipino KBR-384 1 Serving,PH-003-CHLUNCHEONCH,Ch.Luncheon Chicken / Beef Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,139.3,"[{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":100,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""SAEDCO FRESH EGGS MEDIUM 12/30 CT"",""quantity"":0.2,""unit"":""pieces"",""item_code"":""142110"",""ingredient_id"":""""},{""ingredient_name"":""A-AL AMC CORN STARCH 1/25KG"",""quantity"":4.8,""unit"":""g"",""item_code"":""139554"",""ingredient_id"":""""},{""ingredient_name"":""A-FOOM WHITE FLOUR 1/45KG"",""quantity"":3.2,""unit"":""g"",""item_code"":""188559"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":5,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA REHAN SALT IODIZED 24/700G"",""quantity"":1.8,""unit"":""g"",""item_code"":""166780"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"",""quantity"":0.54,""unit"":""g"",""item_code"":""185836"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.003,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""NADA UHT MILK FF 18/200ML"",""quantity"":0.006,""unit"":""l"",""item_code"":""118807"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.003,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.5,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""paprika powder color"",""quantity"":0.46,""unit"":""g"",""item_code"":""PHMIS-002"",""ingredient_id"":""""}]",[],"1 kg ground chicken/Beef | 2 large eggs | 6 tbsp cornstarch | 4 tbsp all-purpose flour | 4 tbsp sugar | 3 tsp salt | 2 tsp ground black pepper | 2 tbsp soy sauce | 4 tbsp milk | 2 tbsp cooking oil | 4 to 6 cloves garlic, minced (optional) | 2 tsp paprika powder for color (optional)",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chicken Adobo Philippines Filipino KBR-384 1 Serving,PH-004-CHICKENADOBO,Chicken Adobo Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,406.3,"[{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":294.84,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.036,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""MAWASIM VINEGAR WHITE 4/3.78LTR"",""quantity"":0.024,""unit"":""l"",""item_code"":""367022"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":5.25,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""SHAN BLACK PEPPER WHOLE 10/1KG"",""quantity"":1.2,""unit"":""g"",""item_code"":""GR001017"",""ingredient_id"":""""},{""ingredient_name"":""TFG NIAZ BAY LEAVES 1/1KG"",""quantity"":0.23,""unit"":""g"",""item_code"":""147040"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.042,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":1.25,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA OLIVE OIL 12/500ML"",""quantity"":0.0015,""unit"":""l"",""item_code"":""185208"",""ingredient_id"":""""}]",[],"Chicken: 6 to 7 lbs (about 3 kg) bone-in, skin-on chicken thighs and drumsticks. | Soy Sauce: 1.5 cups regular or light soy sauce. | Vinegar: 1 cup cane vinegar (or white vinegar). | Garlic: 15 to 20 cloves, peeled and crushed (plus extra minced garlic for frying if desired). | Peppercorns: 1.5 tablespoons whole black peppercorns. | Bay Leaves: 8 to 10 dried bay leaves. | Water: 1.5 to 2 cups. | Sugar: 1 tablespoon brown sugar (optional, to balance acidity). | Oil: 1 tablespoon neutral oil for searing.",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chicken Adobo coconut Philippines Filipino KBR-384 1 Serving,PH-005-CHICKENADOBO,Chicken Adobo coconut Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,480.2,"[{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":250,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.03,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""MAWASIM VINEGAR WHITE 4/3.78LTR"",""quantity"":0.03,""unit"":""l"",""item_code"":""367022"",""ingredient_id"":""""},{""ingredient_name"":""AFCO COCONUT MILK POWDER 12/300G"",""quantity"":0.06,""unit"":""l"",""item_code"":""174476"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":9.75,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""TFG NIAZ BAY LEAVES 1/1KG"",""quantity"":0.34,""unit"":""g"",""item_code"":""147040"",""ingredient_id"":""""},{""ingredient_name"":""SHAN BLACK PEPPER WHOLE 10/1KG"",""quantity"":1.2,""unit"":""g"",""item_code"":""GR001017"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA OLIVE OIL 12/500ML"",""quantity"":0.0045,""unit"":""l"",""item_code"":""185208"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":2.5,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":1.88,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":20,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":30,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":40,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""}]",[],"Chicken: 2.5 kg (about 5.5 lbs) bone-in, skin-on chicken thighs and drumsticks | Soy Sauce: 1.25 cups (approx. 300 ml) | Vinegar: 1.25 cups (approx. 300 ml) cane vinegar or white vinegar | Coconut Milk: 2.5 cups (approx. 600 ml) whole-fat coconut milk | Garlic: 30 to 35 cloves, peeled and crushed | Bay Leaves: 12 to 15 fresh bay leaves | Peppercorns: 1.5 tablespoons whole black peppercorns | Oil: 3 tablespoons coconut oil or vegetable oil | Optional: 4 to 6 red or green finger chilies (siling labuyo or panigang) for heat | Sugar: 1 to 2 tablespoons brown sugar (optional, to balance tartness) [1, 2, 3, 4]",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chicken Menudo Philippines Filipino KBR-384 1 Serving,PH-006-CHICKENMENUD,Chicken Menudo Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,682,"[{""ingredient_name"":""TAFGA MAGGI CUBES CHICKEN 24/24/20G"",""quantity"":200,""unit"":""g"",""item_code"":""102426"",""ingredient_id"":""""},{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":50,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA AMERICANA CHICKEN FRANK 24/340G"",""quantity"":36,""unit"":""g"",""item_code"":""182833"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10"",""quantity"":0.048,""unit"":""l"",""item_code"":""381887"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA LUNA TOMATO PASTE 24/400G"",""quantity"":6,""unit"":""g"",""item_code"":""103023"",""ingredient_id"":""""},{""ingredient_name"":""liver spread"",""quantity"":17,""unit"":""g"",""item_code"":""PHMIS-001"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.006,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.084,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""POTATO (LOCAL)"",""quantity"":72,""unit"":""g"",""item_code"":""PR000022"",""ingredient_id"":""""},{""ingredient_name"":""CARROT (AUSTALIA/CHINA)"",""quantity"":20,""unit"":""g"",""item_code"":""PR000026"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":15,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":15,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":2.7,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""A-5 DIAMOND RAISIN 1/10KG"",""quantity"":12,""unit"":""g"",""item_code"":""404314"",""ingredient_id"":""""},{""ingredient_name"":""A-TOMEX GREEN PEAS 4/2.5KG"",""quantity"":12,""unit"":""g"",""item_code"":""404330"",""ingredient_id"":""""},{""ingredient_name"":""TFG NIAZ BAY LEAVES 1/1KG"",""quantity"":0.07,""unit"":""g"",""item_code"":""147040"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":1.25,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""LEMON (AFRICAN/TURKEY)"",""quantity"":55,""unit"":""g"",""item_code"":""PR000090"",""ingredient_id"":""""}]",[],"2 kg boneless chicken thighs or breast, cut into small cubes | 500 g chicken liver or beef liver, cubed (optional, adds traditional depth) | 8 pcs regular hot dogs or Vienna sausages, sliced diagonally (kid-friendly favorite) | 2 cups tomato sauce | ¼ cup tomato paste | 170 g liver spread (about 2 small cans) | 4 tbsp soy sauce | 3 to 4 cups water or low-sodium chicken broth | 4 medium potatoes, peeled and cubed | 2 large carrots, peeled and cubed | 1 large red bell pepper and 1 large green bell pepper, chopped | 2 medium onions, chopped | 8 to 10 cloves garlic, minced | ½ cup raisins (optional for a touch of sweetness) | ½ cup green peas | 3 pcs dried bay leaves (laurel) | 1 tbsp sugar (to balance the acidity) | Juice of 5 to 6 pcs calamansi (or 3 tbsp lemon juice) | Cooking oil for sautéing | Salt and ground black pepper to taste",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chicken Sotanghon Philippines Filipino KBR-384 1 Serving,PH-007-CHICKENSOTAN,Chicken Sotanghon Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,757,"[{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":158.76,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""A- MAKATI CHINESE NOODLES 30/200G"",""quantity"":27.5,""unit"":""g"",""item_code"":""402514"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.408,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":2.7,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""GINGER (CHINA)"",""quantity"":2,""unit"":""g"",""item_code"":""PR000019"",""ingredient_id"":""""},{""ingredient_name"":""CARROT (AUSTALIA/CHINA)"",""quantity"":20,""unit"":""g"",""item_code"":""PR000026"",""ingredient_id"":""""},{""ingredient_name"":""CABBAGE (LOCAL)"",""quantity"":72,""unit"":""g"",""item_code"":""PR000002"",""ingredient_id"":""""},{""ingredient_name"":""celery"",""quantity"":20,""unit"":""g"",""item_code"":""PHMIS-003"",""ingredient_id"":""""},{""ingredient_name"":""A-AFFCO FISH SAUCE 12/700ML"",""quantity"":0.0045,""unit"":""l"",""item_code"":""273104"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAGGI CUBES CHICKEN 24/24/20G"",""quantity"":4,""unit"":""g"",""item_code"":""102426"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.0015,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.006,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""}]",[],"Chicken: 3.5 lbs (about 1.5 kg) chicken breast or bone-in chicken pieces | Sotanghon noodles: 250–300 grams (glass or cellophane noodles) | Water or chicken broth: 16–18 cups | Aromatics: 2 medium onions (chopped), 8 to 10 cloves garlic (minced), 1 thumb-sized ginger (julienned) | Vegetables: 2 medium carrots (julienned), 3 cups shredded cabbage or napa cabbage, 2 stalks celery (chopped) | Flavor & Color: 3 tablespoons fish sauce (patis), 2 pieces chicken bouillon cubes, 1 tablespoon annatto powder (atsuete) dissolved in 1/2 cup warm water, salt and ground black pepper to taste | Cooking oil: 4 tablespoons | Garnish: Chopped green onions (scallions) and toasted crispy garlic bits",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chicken curry Philippines Filipino KBR-384 1 Serving,PH-008-CHICKENCURRY,Chicken curry Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,608.2,"[{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":275,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""AFCO COCONUT MILK POWDER 12/300G"",""quantity"":0.084,""unit"":""l"",""item_code"":""174476"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.048,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":3,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""GINGER (CHINA)"",""quantity"":4,""unit"":""g"",""item_code"":""PR000019"",""ingredient_id"":""""},{""ingredient_name"":""SHAN CURRY POWDER 10/1KG"",""quantity"":3.85,""unit"":""g"",""item_code"":""GR000041"",""ingredient_id"":""""},{""ingredient_name"":""A-AFFCO FISH SAUCE 12/700ML"",""quantity"":0.0068,""unit"":""l"",""item_code"":""273104"",""ingredient_id"":""""},{""ingredient_name"":""POTATO (LOCAL)"",""quantity"":81,""unit"":""g"",""item_code"":""PR000022"",""ingredient_id"":""""},{""ingredient_name"":""CARROT (AUSTALIA/CHINA)"",""quantity"":35,""unit"":""g"",""item_code"":""PR000026"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.0075,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""}]",[],"Chicken: 2.5 to 3 kg (about 5.5 to 6.5 lbs), cut into serving pieces (bone-in thighs or a mix of cuts work best) | Coconut Milk: 3 to 4 cups (gata) | Water or Chicken Broth: 2 cups | Aromatics: 2 large onions (chopped), 10 cloves garlic (minced), and 2 thumb-sized pieces of ginger (minced or julienned) | Curry Powder: 5 to 6 tablespoons of mild yellow curry powder | Fish Sauce (Patis): 4 to 5 tablespoons (adjust to taste) | Vegetables: 4 to 5 medium potatoes (cubed), 3 to 4 medium carrots (sliced or cubed), and 2 large bell peppers (red and green, sliced) | Cooking Oil: 4 to 6 tablespoons for sautéing and pan-frying | Salt and Ground Black Pepper: To taste",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chicken franks Pilippines Filipino KBR-384 1 Serving,PH-009-CHICKENFRANK,Chicken franks Pilippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,186.2,"[{""ingredient_name"":""A-TAFGA AMERICANA CHICKEN FRANK 24/340G"",""quantity"":123.75,""unit"":""g"",""item_code"":""182833"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.0075,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":2.4,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""ONION (WHITE)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000049"",""ingredient_id"":""""},{""ingredient_name"":""A-TFGA AFFCO TOMATO KETCHUP 4/5KG"",""quantity"":0.015,""unit"":""l"",""item_code"":""161290"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML"",""quantity"":0.0075,""unit"":""l"",""item_code"":""110196"",""ingredient_id"":""""}]",[],"25 to 30 pcs Chicken franks, sliced diagonally | 5 tbsp cooking oil | 8 cloves garlic, minced | 2 large white onions, sliced | 10 tbsp banana ketchup or tomato ketchup | 5 tbsp oyster sauce | Salt and ground black pepper to taste | Chopped spring onions (optional garnish)",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chicken fry Philippines Filipino KBR-384 1 Serving,PH-010-CHICKENFRYPH,Chicken fry Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,572.3,"[{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":340.19,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.2,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML"",""quantity"":0.0075,""unit"":""l"",""item_code"":""110196"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z"",""quantity"":20,""unit"":""g"",""item_code"":""182376"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA REHAN SALT IODIZED 24/700G"",""quantity"":0.3,""unit"":""g"",""item_code"":""166780"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z"",""quantity"":20,""unit"":""g"",""item_code"":""182376"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"",""quantity"":0.14,""unit"":""g"",""item_code"":""185836"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z"",""quantity"":20,""unit"":""g"",""item_code"":""182376"",""ingredient_id"":""""},{""ingredient_name"":""all-purpose seasoning powder"",""quantity"":0.35,""unit"":""g"",""item_code"":""PHMIS-004"",""ingredient_id"":""""},{""ingredient_name"":""SAEDCO FRESH EGGS MEDIUM 12/30 CT"",""quantity"":0.3,""unit"":""pieces"",""item_code"":""142110"",""ingredient_id"":""""},{""ingredient_name"":""A-AL AMC CORN STARCH 1/25KG"",""quantity"":9.6,""unit"":""g"",""item_code"":""139554"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.108,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""}]",[],"7 to 8 pounds chicken pieces (drumsticks or thighs) | 4 cloves garlic, minced | 2 small onions, minced | 5 tablespoons oyster sauce | 2 and 1/2 teaspoons salt | 2 and 1/2 teaspoons ground black pepper | 2 and 1/2 tablespoons all-purpose seasoning powder (like Magic Sarap) | 3 large eggs, beaten | 3/4 cup cornstarch | 4 to 5 cups cooking oil for deep frying",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
